naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela
STREŽBA,,PO DOGOVORU,ILIRSKA BISTRICA,"Strežba hrane in pijače v piceriji. Pogoji: starost nad 18 let, izkušnje pri delu s hrano in pijačo, doslednost pri delu z blagajno, komunikativnost, natančnost, urejenost.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308874 , začasno in občasno delo
FIGURANT,,"4,20 €/h neto",LJUBLJANA IN OKOLICA,"Iščejo študenta/tko geodezije za pomoč pri zakoličbi gradbeno inženirskih objektov, geodetskem posnetku izvedenega stanja in ostalih geodetskih delih. Z delom je možno pričeti takoj. Zaželen je vozniški izpit B-kategorije. Možnost tudi kasnejše zaposlitve. Prijave sprejemajo na elektronski naslov ali preko telefona.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308873 , začasno in občasno delo
LAŽJA FIZIČNA DELA,,"5,00 €/h neto",KRANJSKA GORA,"Pomoč pri postavitvi inventarja za potrebe raznih dogodkov, pomoč pri prestavitvi pohištva, pomoč pri urejanju okolice (čiščenje odpadlega listja, kidanje snega) in pomoč pri razvozu inventarja in perila.", 1 , DO 31. 3. 2020 , Po dogovoru, 308872 , začasno in občasno delo
DELO V DELAVNICI,,"5,49 €/h neto",RADOMLJE,"Obvezne izkušnje s področja servisiranja motornih vozil. Od osebe pričakujejo polnoletnost, natančnost, zanesljivost, samoiniciativnost.", 1 , PO DOGOVORU , Dopoldan, 308871 , začasno in občasno delo
PROMOCIJA,,"4,22 €/h neto",LJUBLJANA,"Postani del - promo teama. Predstavljali boste enkratna doživetja in aktivnosti (več info na spl. strani). Urna postavka je odvisna od uspešnosti pri delu, po principu dober zaslužek za dobre (5 €/h bruto + stimulacija). Prijavo, izkušnje ter ime in priimek pošlji na e-naslov, subject: Promocije - ime priimek.", 10 , DECEMBER 2019 , Po dogovoru, 308870 , začasno in občasno delo
POUČEVANJE,,"12,00 €/h neto",LJUBLJANA,Iščejo plesnega trenerja na področju JAZZ BALETA- za skupino pionirjev in sicer vsak ponedeljek in četrtek od 17:00 do 18:00 ure. Delo poteka v prostorih plesne šole. Obvezno plesno predznanje., 1 , DO JUNIJA 2020 , Popoldan, 308869 , začasno in občasno delo
DELO V SKLADIŠČU,,"4,65 €/h neto",LJUBLJANA,"Potrebujejo resno, zanesljivo in natančno osebo za delo v skladišču (priprava blaga, pakiranje).", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308868 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,00 €/h neto",PODKUM,Iščejo komunikativno in pridno osebo za strežbo v okrepčevalnici., 1 , DLJE ČASA (OBČASNO) , Med vikendom, 308867 , začasno in občasno delo
POMOČ UPORABNIKOM,,"4,22 €/h neto",SLOVENJ GRADEC,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Slovenj Gradec, pošlji na email.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308866 , začasno in občasno delo
POMOČ UPORABNIKOM,,"4,22 €/h neto",VELENJE,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Velenje, pošlji na email.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308865 , začasno in občasno delo
INŠTRUKCIJE,,"4,13 €/h neto",KAMNIK,Inštrukcije in pomoč pri učenju za predmet matematike., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308864 , začasno in občasno delo
POMOČ UPORABNIKOM,,"4,22 €/h neto",PTUJ,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Ptuj, pošlji na email.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308862 , začasno in občasno delo
POMOČ V TRGOVINI,BLAGAJNIK,"4,13 €/h neto",CELJE,"Iščejo polnoletno osebo za delo na blagajni, polnjenje polic in ostalo pomoč v trgovini.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308861 , začasno in občasno delo
DELO V PROIZVODNJI,,"5,30 €/h neto",LOGATEC,"Podjetje potrebuje več kandidatov, ki bi v proizvodnji opravljali fizična dela, kot pomočniki upravljalcev strojev. Delovno obleko in čevlje zagotavlja delodajalec. Malica zagotovljena.", 4 , PO DOGOVORU , Izmensko, 308860 , začasno in občasno delo
