naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
PROGRAMIRANJE,,"9,50 €/h neto",LJUBLJANA,"Programming of WordPress plugins for websites, on an as-needed basis. Also includes basic CPANEL administration tasks. Person should have significant experience in Javascript, PHP, MYSQL and preferably experience with Wordpress & Git. Employer speaks English: fluent English is a MUST. SLO: Programiranje Wordpress vtičnikov za spletne strani ter osnovnih CPANEL administrativnih nalog. Zaželene izkušnje z Javascript, PHP, MYSQL ter poznavanje Wordpress in Git. Pogoj je aktivno znanje angleščine.", 1 , PO DOGOVORU , Po dogovoru, 307504 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"4,48 €/h neto",LJUBLJANA,"Banka išče študenta višjega letnika za delo v kontaktnem centru z možnostjo zaposlitve v 2020. Delo vključuje obveščanje strank in strokovno podporo strankam na različnih kanalih (080, elektronska pošta, socialna omrežja). Pričakujejo samoiniciativnost, razgledanost, odgovornost in zanimanje za delo v bančništvu. Nudijo fleksibilen urnik, delo v prijetem okolju in mladi ekipi ter možnost učenja o bančnih storitvah. Prijave sprejemajo na e-mail, s pripisom: Študentsko delo v Kontaktnem centru.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307492 , začasno in občasno delo
PROGRAMIRANJE,,PO DOGOVORU,LJUBLJANA,"Iščejo študenta/ko višjega letnika, absolventskega ali magistrskega študija za delo v Data Science ekipi. Pogoji: starost nad 21 let, dobro poznavanje Pythona ter osnovno poznavanje konceptov strojnega učenja. Zaželeno je poznavanje orodij git, notebook Jupyter (opcijsko tudi C++, C#). Delo bo potekalo pod vodstvom mentorja, možnost teme za diplomsko/magistrsko nalogo, možnost zaposlitve. Prijave z relevantnimi referencami (CV) pošljite na e-mail.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307487 , začasno in občasno delo
DELO V SKLADIŠČU,,"6,00 €/h neto",LJUBLJANA,"V enem izmed vodilnih ponudnikov logističnih storitev, iščejo resne in polnoletne kandidate za delo v skladišču. Delo poteka med tednom in soboto dopoldan oz. po dogovoru s kandidatom in obsega pripravo blaga po nalogih. Kandidatom, ki se bodo izkazali, je na voljo tudi možnost dolgoročne zaposlitve.", 6 , PO DOGOVORU , Po dogovoru, 307485 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",LITIJA,"V kolektiv vabijo pridno, zanesljivo in komunikativno osebo za delo v strežbi. Zaželene so izkušnje, niso pa pogoj. Nedelje in prazniki so prosti.", 1 , PO DOGOVORU , Izmensko, 307484 , začasno in občasno delo
DELO V PROIZVODNJI,,"5,07 €/h neto",LOGATEC,Pomoč koordinatorju skladišča pri pospravljanju artiklov na police in pripravi naročil., 2 , 7-14 DNI , Dopoldan, 307483 ,
DIGITALNI MARKETING,,"5,00 €/h neto",LJ - SLOVENIJA,Vodenje in upravljanje Facebook in Instagram strani. Potrebna univerzitetna izobrazba naravoslovne smeri in izkušnje iz opravljanja socialnih omrežij., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307481 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,50 €/h neto",DOMŽALE,Pogoj je starost nad 18 let. Zaželene izkušnje s strežbo. Študenti/študentke z več izkušnjami dobijo višjo urno postavko. Obvezna polnoletnost., 2 , DLJE ČASA (OBČASNO) , Izmensko, 307480 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",KAMNIK,Prijeten lokal ob kamniški obvoznici potrebuje polnoletno osebo z izkušnjami za delo v strežbi., 2 , DLJE ČASA (OBČASNO) , Dopoldan, 307477 , začasno in občasno delo
VULKANIZERSKA DELA,,"6,00 €/h neto",VELENJE,"Podjetje potrebuje vestne in zanesljive osebe za pomoč pri vulkanizerskih delih. Dela se v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Gre za pomoč v času sezone menjave pnevmatik. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.", 4 , V ČASU SEZONE , Izmensko, 307471 , začasno in občasno delo
DEGUSTACIJE,,"4,93 €/h neto",LJUBLJANA,"Iščejo prijazne osebe, ki imajo izkušnje v prodaji/promociji za promocijo kavnih aparatov. Opis dela: degustacija kave in promocija aparatov. Urna postavka je osnovna in se lahko glede na uspešnost pri prodaji tudi spremeni. Najboljši promotor dobi tudi nagrado. Delo poteka ob petkih, sobotah in občasno ponedeljkih.", 2 , OD 01.11.2019 DO 31.01.2020 , Med vikendom, 307469 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,65 €/h neto",LJUBLJANA,"Podjetje išče več oseb za delo v športni trgovini na oddelku servisa. Delo obsega servisiranje koles in drugih športnih rekvizitov, tiskanje na izdelke in svetovanje strankam. Če je šport del tvojega življenja, iščeš bolj tehnično delo, si iznajdljiv/a, energičen/na, uživaš v skupinskem delu in rad/a delaš z ljudmi, tvoje prednosti pa so prijaznost, pozitivna naravnanost in si pripravljen/a pomagati, pošlji prijavo na e-mail s pripisom- študentsko delo v Ljubljani (BTC).", 5 , DLJE ČASA (OBČASNO) , Izmensko, 307468 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",LJUBLJANA,"Prodaja kavnih aparatov, kavnih kapsul in ostalih dodatkov za kavo. Možno plačilo stimulacije. Zaželene izkušnje v prodaji in veselje do dela s strankami. Prijavo pošljite e-mail.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 307467 , začasno in občasno delo
DELO V SKLADIŠČU,,"5,50 €/h neto",LJUBLJANA,Opravljanje lažjih fizičnih del., 1 , DLJE ČASA (OBČASNO) , dopoldan, 307466 , začasno in občasno delo
DELO V KUHINJI,,"5,00 €/h neto",LJUBLJANA,"V lokalu s študentsko prehrano iščejo študenta/ko za pripravo in prodajo tortilj, sendvičev, solat,... Ob nedeljah in praznikih je  zaprto. Urnik je prilagodljiv študijskim obveznostim.", 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 307464 , začasno in občasno delo
DEGUSTACIJE,,"4,50 €/h neto",MARIBOR,"Iščejo prijazne osebe, ki imajo izkušnje v prodaji/promociji za promocijo kavnih aparatov. Opis dela: degustacija kave in promocija aparatov. Urna postavka je osnovna in se lahko glede na uspešnost pri prodaji tudi poveča. Najboljši promotor dobi tudi nagrado. Delo poteka petke, sobote in občasno ponedeljke.", 2 , OD 01.11.2019 DO 31.01.2020 , Med vikendom, 307463 , začasno in občasno delo
DELO NA TERENU,VZDRŽEVANJE,"4,65 €/h neto",LJUBLJANA,"Skrbnik voznega parka. Delo zajema prevoz vozil med lokacijami, skrb za urejeno vozilo (pranje, čiščenje), dostava vozil na redno servisiranje, vodenje evidenc.Pogoj je odgovorna, poštena, vestna, natačna in zanesljiva oseba, izpit B kategorije (dober voznik brez prekrškov in nesreč). Prijava preko emaila samo za resne kandidate (obvezen življenjepis)", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307460 , začasno in občasno delo
STREŽBA,,"5,44 €/h neto",KIDRIČEVO,"Podjetje potrebuje polnoletno, komunikativno in vestno osebo za delo v strežbi. Lokal se nahaja v nakupovalnem centru, odpiralni čas je od 6. do 20. ure med tednom, ob sobotah od 7. do 17. in ob nedeljah do 12. ure. Dela se v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejjo vlogo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORUIN POTREBI ", Po dogovoru, 307457 , začasno in občasno delo
SOBAR/ICA,,"5,00 €/h neto",LJUBLJANA CENTER,"Sobar/ica za delo v manjšem hotelu v centru Ljubljane. Dela se dopoldan, po dogovoru.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 307451 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",DOBJE,"Podjetje potrebuje polnoletno, komunikativno, vestno, ter zanesljivo osebo za delo v strežbi. Dela se v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Izmensko, 307447 , začasno in občasno delo
POMOČ V TRGOVINI,,"4,13 €/h neto",KOPER,"V trgovini za male živali iščejo pridno in resno osebo za pomoč pri prevzemu blaga, zalaganju in urejanju polic. Zaželene so izkušnje z delom v trgovini, obvezna je fizična moč. Delo bo potekalo nekajkrat na teden. Vloge z življenjepisom pošljite na oba e-maila.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307444 , začasno in občasno delo
POMOČ V STREŽBI,,"5,50 €/h neto",LJUBLJANA CENTER,"Izkušnje so zaželene, nujne so točnost, zanesljivost, delavnost in predvsem čut za timsko delo. Navedena je začetna urna postavka, ki se ob dobrem in uspešnem delu tudi poviša. Pošlji kratko predstavitev in prijavo na e-naslov.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 307442 , začasno in občasno delo
POUČEVANJE,,"10,00 €/h neto",LJUBLJANA,"Podjetje išče študenta (absolventa) italijanščine, ki bi v dopoldanskem času 2x tedensko poučeval italijanščino za začetnika. Zaželene so izkušnje pri poučevanju in samostojnost pri delu. Pogoji: dobro znanje italijanskega jezika, starost nad 21 let. Prijave s kratko predstavitvijo pošlji na email.", 1 ," DLJE ČASA ( OBČASNO), PO DOGOVORU ", Dopoldan, 307439 , začasno in občasno delo
PAKIRANJE,,"5,50 €/h neto",SRŽEVICA,"Podjetje potrebuje polnoletno, natančno, vestno in zanesljivo osebo za pomoč v tiskarni. Delo zajema; odpremo posterjev in slik iz tiskarne, pakiranje, ter lepljenje nalepk in računov. Poskrbljeno je za delovne pogoje in redno malico, ki jo plača podjetje. Interesenti naj pošljejo vlogo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI ", Dopoldan, 307437 , začasno in občasno delo
PRODAJA,,"4,13 €/h neto",LESCE,"Prodaja železniških vozovnic, pričakujejo doslednost, točnost in prijaznost do strank. Delo je prijetno in omogoča študij v času, ko ni strank.", 1 , PO DOGOVORU , dopoldan, 307435 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,22 €/h neto",LJUBLJANA BTC,"Pomoč pri prodaji v trgovini Emporium - na otroškem ali katerem drugem oddelku. Pogoji: odgovornost, delavnost, poznavanje modnih smernic ter strast do prodaje. Začetna (uvajanje) urna postavka je 5 €/h bruto, kasneje se zvišuje glede na delovno uspešnost. Nedeljska urna postavka pa je +2,5 €/h bruto. Prijavo pošlji na e-naslov.", 5 , DLJE ČASA (OBČASNO) , Po dogovoru, 307428 , začasno in občasno delo
ČIŠČENJE,,"6,34 €/h neto",LJUBLJANA,Pomoč pri čiščenju poslovnih prostorov., 1 ," PO DOGOVORU, LAHKO DLJE ČASA (OBČASNO) ", Popoldan, 307421 , začasno in občasno delo
DELO V PROIZVODNJI,,"6,00 €/h neto",TRZIN,"Delo v proizvodnji elektrotehnike. Potrebno osnovno znanje iz področja (branje načrtov, vezave omar, vijačenje,..). Zaželeno po izobrazbi elektrotehniki, električarji, strojniki,.. Razgibano delo, ki omogoča pridobivanje praktičnih izkušenj. Možnost kasnejše redne zaposlitve. Prijave na email.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 307419 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",HORJUL,"Delo po dogovoru: lahko samo ob vikendih, lahko čez teden. Izkušnje niso potrebne, dela se lahko priučite. Pogoji: starost nad 18 let, komunikativnost in prijaznost. Navedena urna postavka je začetna.", 2 , PO DOGOVORU , Po dogovoru, 307418 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",NOVO MESTO,V kolektiv vabijo energične osebe za delo v strežbi. Delo poteka popoldan in dopoldan. Resni kandidati vabljeni na razgovor. Možnost kasnejše zaposlitve., 2 , DLJE ČASA (OBČASNO) , Izmensko, 307417 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",VRHNIKA,"Strežba pijač in prigrizkov. Pogoji: samostojnost pri delu za šankom, delovne izkušnje in starost nad 18 let. Urna postavka se giblje med 5,92 € in 6,75 € bruto (5 do 5,7 € neto).", 2 , PO DOGOVORU , Po dogovoru, 307413 , začasno in občasno delo
FOTOKOPIRANJE,,"4,48 €/h neto",LJUBLJANA CENTER,Podjetje išče študenta/ko (absolventa/ko) za delo v fotokopirnici. Delovni čas po dogovoru. Pogoj je starost nad 21 let., 2 , DLJE ČASA (OBČASNO) , Izmensko, 307412 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",ŠPORTNA DVORANA PLANINA,"Strežba v športni dvorani, med vikendi in v času tekmovanja. Strežba tudi v montažnem drsališču v centru Kranja. Pogoj je starost nad 18 let.", 2 , DLJE ČASA (OBČASNO) , Med vikendom, 307407 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",KOPER,Podjetje išče osebo za strežbo. Pogoj je starost nad 18 let. Zaželene izkušnje., 1 , DLJE ČASA (OBČASNO) , Izmensko, 307402 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",NOVO MESTO,"V biljardnici z petimi profesionalnimi biljard mizami in eno snooker mizo potrebujejo več oseb za strežbo. Izkušnje zaželene, niso pa pogoj. Urna postavka se viša glede na promet.", 3 , DLJE ČASA (OBČASNO) , Popoldan, 307394 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,50 €/h neto",DOMŽALE,"Podjetje išče polnoletni osebi za delo v trgovini z modnimi torbicami, pisarniškim in šolskim programom. Delo je na blagajni, pomoč strankam in urejanje poslovalnice. Urna postavka za delo v nedeljo: 5,92 €/h bruto (5 €/h neto).", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307383 , začasno in občasno delo
RAČUNOVODSKA DELA,,"4,22 €/h neto",ŽIVALSKI VRT LJUBLJANA,"Pomoč v računovodstvu: knjiženje računov, urejanje dokumentacije, pomoč pri drugih računovodskih opravilih. Pogoji: poznavanje knjigovodstva, natančnost in zanesljivost. Zaželeno poznavanje osnovnih ekonomskih kategorij, povezanih s poslovanjem podjetja. Poznavanje programa Pantheon je prednost. Zaželeni študentje/ke ekonomije.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307381 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,50 €/h neto",LJUBLJANA CENTER,"Delo na recepciji hostla (predvsem v nočnem času).  Pogoji: starost nad 20 let, znanje angleškega jezika  samoiniciativnost, zanesljivost, resnost, prijaznost, veselje do dela z ljudmi, nekaznovanost. Uvajanje traja do največ dva tedna (cca 40 h)  in je plačano  5,33 € bruto/h, po tem se plačilo zviša. Uvajanje ne poteka v nočnem času. Življenjepis v slovenščini in angleščini na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 307378 , začasno in občasno delo
DELO S STRANKAMI,,"5,07 €/h neto",LJUBLJANA,"Pomoč pri projektu Car sharing. Opis dela: predaja ključev in dodatnih potrebnih pojasnil strankam,  pregled ob prejemu, prepoznavanje morebitne škode, skrb za urejenost in čistočo vozil. Ostala dela po dogovoru nadrejenega. Če te zanimajo avtomobili, si komunikativen/na in imaš izpit B kategorije je to delo pravo zate. Prijave sprejemajo na mail.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 307375 , začasno in občasno delo
POUČEVANJE,,"8,88 € BRUTO/ NA ŠOLSKO URO","ZAGORJE, TRBOVLJE, HRASTNIK","Poučevanje kitare. Delo se opravlja enkrat na teden. Pogoji: glasbeno predznanje, resnost, zanesljivost, starost nad 18 let. Plačilo po dogovoru glede na število učencev ter v odvisnosti od programa (individualni/v paru).", 1 , DLJE ČASA (OBČASNO) , Popoldan, 307372 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",ZLATO POLJE,Potrebujejo polnoletno osebo za strežbo v lokalu na bencinskem servisu. Obvezne izkušnje v strežbi. Stimulativno plačilo. Poleg urne postavke možna tudi stimulacija., 4 , ZA DLJE ČASA (OBČASNO) , Izmensko, 307370 , začasno in občasno delo
KLICNI CENTER,,"5,00 €/h neto",LJUBLJANA,"Podjetje potrebuje več odgovornih, polnoletnih in resnih oseb za delo v klicnem centru - za sprejem klicev s strani strank. Vikendi so prosti.  Predhodne izkušnje niso potrebne. Delo poteka v mladem in dinamičnem kolektivu. Prijavo pošlji na e-naslov.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 307365 , začasno in občasno delo
POMOČ V KUHINJI,,"4,80 €/h neto",KRANJ,"Priprava hrane v kuhinji (burgerji, palačinke, pice, tortilije itd.), sčasoma tudi pomoč pri delu v trgovini in na blagajni. Pogoji: starost nad 18 let, natančnost in urejenost. Če si poln/a pozitivne energije in delovnega zagona pokliči ali se prijavi na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307362 , začasno in občasno delo
INŠTRUKCIJE,,"7,10 €/h neto",DOMŽALE,"Inštruiranje  fizike, elektrotehnike ali mehanike za osnovnošolce, gimnazijce/srednješolce ter priprava na maturo. Od študenta/ke pričakujejo dobro organiziranost, natančnost, zanesljivost, visoko mero odgovornosti ter sposobnost za samostojno in timsko delo. Zaželeno da je kandidat/ka iz Domžal ali okolice (lasten prevoz).", 1 , DLJE ČASA (OBČASNO) , Popoldan, 307356 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",TREBNJE,"Delo v piceriji, v prijetnem kolektivu. Delovne izkušnje niso potrebne.", 1 , DLJE ČASA (OBČASNO) , Med vikendom, 307351 , začasno in občasno delo
POMOČ PRI PRODAJI,,GLEDE NA USPEŠNOST,VELENJE,Pomoč pri prodaji. Plačilo je odvisno od uspešnosti., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 307344 , začasno in občasno delo
BLAGAJNIK,,"4,13 €/h neto",MARIBOR,Podjetje potrebuje tri osebe za delo na blagajni. Nedeljska urna postavka je 6 € bruto/h., 3 , DLJE ČASA (OBČASNO) , Izmensko, 307342 , začasno in občasno delo
TEHNIČNA POMOČ,IT PODPORA,"5,07 €/h neto",MARIBOR,"Želiš podrobneje spoznati delovanje najsodobnejših informacijsko-komunikacijskih tehnologij, hkrati pa si komunikativen študent/ka, ki rad/a pomaga in mu/ji veliko pomenijo zadovoljni uporabniki? Pridobi izkušnje in dobro referenco na področju tehnične/informacijske podpore uporabnikom. Možnost stimulacije do 8,00 € bruto/h. Prijavi se in CV s prošnjo in telefonsko številko, obvezno s pripisom Tehnična/informacijska pomoč uporabnikom MB.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 307337 , začasno in občasno delo
TEHNIČNA POMOČ,IT PODPORA,,LJUBLJANA,"Želiš podrobneje spoznati delovanje najsodobnejših informacijsko-komunikacijskih tehnologije, hkrati pa si komunikativen študent, ki rad pomaga in mu veliko pomenijo zadovoljni uporabniki? Pridobi izkušnje in dobro referenco na področju tehnične/informacijske podpore uporabnikom. Prijava po mailu na: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""9fecebeafbfaf1ebecf4feb1efedf6f3f0e5f1f0ecebdfebfaf3faf4f0f2b1ecf6"">[email&#160;protected]</a>, CV s prošnjo in telefonsko številko, s pripisom »Tehnična/informacijska pomoč uporabnikom LJ«. Znanja:komunikac. veščine, dobrodošlo predhodno znanje informac.tehno", 4 , DLJE ČASA (OBČASNO) , Dopoldan, 307336 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,50 €/h neto",LJUBLJANA CENTER,"Delo na recepciji. Pogoji: starost nad 18 let, znanje angleškega jezika, komunikativnost, urejenost in  poštenost. Zelo velika prednost je, če stanujete v centru Ljubljane v okolici Drame in znate več tujih jezikov. Plačilo je lahko tudi višje. Za več informacij pokličite in se dogovorite za razgovor.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 307329 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,13 €/h neto",CELJE,"Podjetje potrebuje vestno in zanesljivo osebo, staro nad 20 let, za pomoč pri prodaji. Delovni čas je po dogovoru in po potrebi. Prijave s pripisano telefonsko številko pošljite na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 307326 , začasno in občasno delo
DELO NA TERENU,,PO DOGOVORU,LJUBLJANA,"Za nov produkt, ki prihaja na trg v mesecu novembru, iščejo brand ambasadorje. Iščejo energične, zgovorne, iznajdljive ljudi, stare 25 let ali več, ki bi tri mesece hodili po Sloveniji, obiskovali različna prodajna mesta in s prodajalci izvajali aktivnosti ob lansiranju novega produkta.V času dela bodo dobili tudi služben avto, uniforme itd. Prijave zbirajo na mail, naknadno bodo potekale avdicije", 10 , TRI MESECE , Dopoldan, 307325 , začasno in občasno delo
