naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
POMOČ V STREŽBI,LJUBLJANA ŠENTVID, 1 , Izmensko, začasno in občasno delo, 308456 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Iščejo odgovorno, pridno, samozavestno osebo za delo v strežbi. Zaželene izkušnje, ni pa nujno. Delo je izmensko, dopoldne/popoldne, delovni čas bara je od 6. do 22. ure. Prilagodljiv urnik, nedelje so proste. Sobota je delovna samo dopoldne do 14. ure. Pokličite ali pošljite prijavo na e-naslov.","6,00 €/h neto"
VULKANIZERSKA DELA,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308453 , 1. 11.-1. 12. 2019 ,VULKANIZERSKA DELA,,"Potrebujejo študenta/tko za pomoč v majhnem družinskem podjetju, ki se ukvarja s servisom vozil. V času od začetka novembra do začetka decembra (1 mesec) je obdobje menjave pnevmatik. Pomoč se potrebuje pri prenosu pnevmatik na vozičku iz skladišča do delavnic in nazaj ter občasno pranje pogodbenih vozil.","5,30 €/h neto"
TELEFONIST,LJUBLJANA, 2 , dopoldan, začasno in občasno delo, 308452 , DLJE ČASA (OBČASNO) ,TELEFONIST,,"Vabijo zainteresirane, komunikativne in zanesljive osebe za delo v prijetnem klicnem centru. Dobro, pošteno in redno plačilo.","6,00 €/h neto"
TELEFONSKI MARKETING,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308451 , DLJE ČASA (OBČASNO) ,TELEFONSKI MARKETING,,Podjetje išče študenta/ko za telemarketing in sicer za iskanje potencialnih strank preko spleta in nato vabljenje na platformo. Pričetek dela čimprej oziroma po dogovoru. Prošnje pošljite na elektronski naslov.,"4,50 €/h neto"
DELO V PROIZVODNJI,GOJAČE, 1 , Po dogovoru, začasno in občasno delo, 308450 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Pomoč pri pripravljanju, upravljanju in nadzorovanju botanične superkritične naprave za potrebe ekstrahiranja različnih medicinskih in botaničnih rastlin, pripravo končnih (pol)izdelkov.","6,00 €/h neto"
PROGRAMIRANJE,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308449 , PO DOGOVORU ,PROGRAMIRANJE,,"Izdelava SW na področju Industrial IoT (Industrie 4.0), delo v mednarodnem okolju. Delo na razvoju kode, odpravljanje bugov, sodelovanje s QA in DevOpsi. Zahteve: 2+ leti programerskih izkušenj na JS frameworkih, želeno 1+ leto v Vue.js. V času projekta ali sodelovanja pričakujejo 75 - 100 % angažiranost.",PO DOGOVORU
POSPEŠEVANJE PRODAJE,"LJUBLJANA , GORENJSKA,...", 1 , Po dogovoru, začasno in občasno delo, 308448 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,,"Zlaganje blaga na police in stojala po trgovskih centih (voščilnice, vrečke, ovojni papir). Pogoj izpit B kategorije.","5,00 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 308446 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"V svojo ekipo vabijo študenta/ke, ki imajo veselje do administrativnega dela na kadrovskem področju. Zaželeni študentje/ke, ki študirajo kadrovsko smer. Izkušnje zaželene, niso pogoj. Delo poteka po dogovoru - dopoldan. Prijave pošljite na mail.","4,13 €/h neto"
MONTAŽA,CELJE Z OKOLICO, 2 , dopoldan, začasno in občasno delo, 308444 , DLJE ČASA (OBČASNO) ,MONTAŽA,,"Pomoč pri montažnih delih (pomoč pri montaži telekomunikacijskih omrežij, terensko delo). Zahteva se pridnost in natančnost.","4,22 €/h neto"
POMOČ V TRGOVINI,CELJE, 3 , Po dogovoru, začasno in občasno delo, 308443 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,,"Podjetje potrebuje tri osebe za pomoč v trgovini z oblačili in dodatki za dom. Delo obsega delo na blagajni, delo s strankami in prevzem blaga. Dela se od ponedeljka do petka.","4,13 €/h neto"
OBDELAVA PODATKOV,KRANJ, 5 , Dopoldan, začasno in občasno delo, 308442 , DLJE ČASA (OBČASNO) ,OBDELAVA PODATKOV,,"Podjetje išče študente geodezije, geografije in tehničnih smeri za obdelavo prostorskih podatkov. Obdelava oblaka laserskih točk, izdelava DMR, DMV in drugih produktov.Pogoj je starost nad 18 let.","6,00 €/h neto"
ČIŠČENJE,SPODNJE HOČE, 1 , Po dogovoru, začasno in občasno delo, 308440 ," OBČASNO, PO DOGOVORU ",ČIŠČENJE,,Za čiščenje poslovnih in javnih prostorov potrebujejo polnoletno osebo. Pogoja sta zanesljivost in redoljubnost. Delo se lahko opravlja takoj.,"4,65 €/h neto"
POMOČ PRI PRODAJI,CELJE, 3 , Po dogovoru, začasno in občasno delo, 308439 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ",POMOČ PRI PRODAJI,,"Podjetje potrebuje polnoletne, komunikativne, vestne in zanesljive osebe za pomoč pri prodaji Elanovih produktov. Prodaja se v nakupovalnem centru. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja","5,07 €/h neto"
STREŽBA HRANE IN PIJAČE,PTUJ, 2 , Izmensko, začasno in občasno delo, 308436 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI ",STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje polnoletni, vestni in komunikativni osebi za delo in pomoč v strežbi novoodprtega lokala. Delo poteka v dopoldanskem in popoldanskem času, prav tako ob vikendih, po dogovoru in potrebi. Gre za stimulativno plačilo. Interesenti naj pokličejo na kontakt podjetja.","4,50 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308435 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje potrebuje osebo za pomoč pri prodaji otroške opreme. Urna postavka se lahko dvigne, v kolikor je oseba pridna.","4,23 €/h neto"
PRAVNE STORITVE,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 308434 , DLJE ČASA (OBČASNO) ,PRAVNE STORITVE,,Delo pravnika v odvetniški pisarni. Pogoja sta zaključena 1. stopnja študija prava in starost nad 21 let. Delovne izkušnje so zaželene. Prijavo s priloženim CV in izkušnjami pošlji na e-mail do 05.11. 2019.,PO DOGOVORU
POMOČ V KUHINJI,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308433 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,POMIVALEC,"Potrebujejo osebo za delo v kuhinji. Delo obsega večinoma pomivanje ter po dogovoru ostala dela. Pogoji: marljivost, fleksibilnost, zanesljivost. Izkušnje niso pogoj.  Delo poteka od ponedeljka do petka, po potrebi in dogovoru. Bruto urna postavka je od 5,70 € dalje.","4,82 €/h neto"
POMOČ V SKLADIŠČU IN PROD. CENTRIH,MARIBOR, 1 , Izmensko, začasno in občasno delo, 308432 , DLJE ČASA (OBČASNO) ,POMOČ V SKLADIŠČU IN PROD. CENTRIH,,Iščejo študenta za delo v skladišču. Delo obsega pomoč v skladišču in razkladanje blaga.,"5,07 €/h neto"
DELO V TURIZMU,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308429 , DLJE ČASA (OBČASNO) ,DELO V TURIZMU,,"Prodaja turističnih aranžmajev in drugih storitev povezanih s turizmom, delo s strankami (svetovanje, priprava potovalnih dokumentov), prodaja vstopnic za prireditve in ostala administrativna/operativna dela. Pogoji za delo: komunikativnost, odprtost za delo z ljudmi, fleksibilnost. Zaželene so delovne izkušnje s področja dela v turistični agenciji.","4,13 €/h neto"
KONTROLA KAKOVOSTI,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308425 , DLJE ČASA (OBČASNO) ,KONTROLA KAKOVOSTI,,"Testiranje programske opreme in uporabniškega vmesnika v skladu s testnimi specifikacijami in navodili. Testiranje se izvaja z orodji in opremo naročnika.Delo poteka na lokaciji naročnika.Zahtevajo natančnost kar vključuje natančno in sprotno vnašanje rezultatov testiranja, natančen opis odkritih težav in izdelavo poročil o rezultatih testiranja.Tehnična izobrazba ni pogoj.","4,48 €/h neto"
POUČEVANJE,TRZIN, 1 , Po dogovoru, začasno in občasno delo, 308422 , DLJE ČASA (OBČASNO) ,POUČEVANJE,,Poučevanje italijanščine za dve skupini starejših odraslih oseb v Centru aktivnosti za starejše.,"6,40 €/h neto"
DELO V DELAVNICI,ŠMARJE SAP, 1 , Dopoldan, začasno in občasno delo, 308420 , PO DOGOVORU ,DELO V DELAVNICI,,Delo v mizarski delavnici.,"6,00 €/h neto"
STREŽBA,LJUBLJANA BEŽIGRAD, 2 , Po dogovoru, začasno in občasno delo, 308416 , DLJE ČASA (OBČASNO) ,STREŽBA,,"V hotelskem lounge baru potrebujejo osebi za strežbo. Delo je samostojno, izkušnje zaželene. Pri plačilu bo upoštevana stimulacija na promet. Delo je ob vikendih in večinoma popoldan.","6,00 €/h neto"
RAZVOZ,AJDOVŠČINA, 1 , Dopoldan, začasno in občasno delo, 308415 , DLJE ČASA. ,RAZVOZ,,"Razvoz blaga s službenim kombijem, zahtevan vozniški izpit B kategorije. Iščejo odgovornega in dobrega voznika.","5,18 €/h neto"
PRODAJA,LJUBLJANA STEGNE - PARKIRIŠČE ZAGOTOVLJENO, 1 , Dopoldan, začasno in občasno delo, 308414 , DLJE ČASA (OBČASNO) ,PRODAJA,MARKETING,"Si komunikativna, samoiniciativna, odgovorna in energična oseba, ki jo veseli delo v prodaji? Podjetje potrebuje študenta/ko višjih letnikov ali absolventa/ko za delo v prodaji in marketingu. Delo obsega administrativno podporo pri prodaji ter opravljanje telefonskih klicev naročnikom in je odlična karierna priložnost (možnost kasnejše zaposlitve). Nudijo fleksibilen delovni čas in delo v prijetnem kolektivu ter novih prostorih. Prijave s priloženim CV-jem pošlji na mail.","5,07 €/h neto"
DELO V SKLADIŠČU,LJUBLJANA  ZALOG, 5 , Izmensko, začasno in občasno delo, 308410 , DLJE ČASA (OBČASNO) ,DELO V SKLADIŠČU,KOMISIONIRANJE,"Potrebujejo več oseb za komisioniranje - priprava blaga in pomožna dela v skladišču. Plačilo je med 5,40 in 6,70 €/h bruto, odvisno od dosežene norme. Prijave sprejemajo na telefon med 7. in 14. uro.","4,56 €/h neto"
INFORMATIKA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308409 , DLJE ČASA (OBČASNO) ,INFORMATIKA,,"Potrebujejo polnoletnega študenta/ko smeri računalništva - informatike, za opravljanje tehnične podpore uporabnikom. Zaželeno je znanje in izkušnje z delom z uporabniki SQL podatkovnih baz, poznavanje LINUX ukazne vrstice in pa želja po programiranju v JAVA ali DELPHI z možnostjo kasnejše redne zaposlitve. Življenjepis pošlji na e-mail.","5,00 €/h neto"
STREŽBA,PORTOROŽ-LUCIJA, 1 , Po dogovoru, začasno in občasno delo, 308408 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče osebo za pomoč v strežbi v restavraciji ali v baru.,"5,00 €/h neto"
PAKIRANJE,NAKLO, 3 , Dopoldan, začasno in občasno delo, 308405 , DLJE ČASA (OBČASNO) ,PAKIRANJE,,Iščejo osebe za pomoč pri pakiranju delikatesnih izdelkov in solat.,"4,65 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308404 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Eno od večjih slovenskih podjetij išče pomoč na področju turizma in mobilnosti - delo obsega sprejemanje enostavnih klicev, skrb za info e-sporočila, lažja administrativna dela. V plačilo sta zajeti urna postavka 6,00 € bruto in stimulacija, ki se lahko z dobrimi rezultati zviša. Zaželeno je aktivno znanje angleškega in nemškega ali italijanskega jezika. Prijave s kratkim življenjepisom pošljite na e-naslov do 08.11.2019.","5,07 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA-VIČ, 1 , Popoldan, začasno in občasno delo, 308403 , 4. 11. 2019 - 31.1. 2020 ,ADMINISTRATIVNA DELA,,"Administrativna dela obsegajo: telefonsko komunikacijo, obdelavo fizične in e-pošte, postrežbo na sestankih, itd. Pogoji: znanje MS Word, Excel, Outlook, Lotus Notes in aktivno znanje angleškega jezika. Prednost: knjiženje dokumentov SPIS4 (Lotus Notes). Prijave na e-mail. Možnost podaljšanja dela in zvišanja urne postavke ob prevzemu vseh delovnih nalog.","4,14 €/h neto"
DELO V PROIZVODNJI,PTUJ, 1 , Izmensko, začasno in občasno delo, 308401 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Podjetje potrebuje polnoletno in zanesljivo osebo za pomoč v proizvodnji. Delo poteka  v dopoldanskem in popoldanskem času, občasno tudi ponoči oz. po dogovoru in potrebi in zajema pomoč pri kontroli polizdelkov, končnih izdelkov ter ostala proizvodna dela. Dodatki pri urni postavki: 20 % za delo popoldan, 50 % nočna in 30 % v soboto. Kandidati naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,22 €/h neto"
ZDRAVSTVENA NEGA,NOTRANJE GORICE, 2 , Izmensko,, 308400 , 26.10. DO 03.11.2019 ,ZDRAVSTVENA NEGA,,Zdravstvena nega v centru starejših občanov. Pogoj je zdravstvena smer šolanja.,"5,92 €/h neto"
INŠTRUKCIJE,MARIBOR, 1 , Dopoldan, začasno in občasno delo, 308399 , DLJE ČASA (OBČASNO) ,INŠTRUKCIJE,,"Inštuktor/inštruktorica pilatesa. V vadbenem centru v Mariboru iščejo inštuktorja/inštruktorico za redno izvajanje vadbe pilates. Imaš nekaj izkušenj, znaš delati timsko, si nasmejan/a? Pogoj je tudi licenca za vadbo. Termini v dopoldanskem oziroma jutranjem času. Prijave sprejemajo na e-mail.",PO DOGOVORU
DELO V DELAVNICI,VOJNIK, 2 , Izmensko, začasno in občasno delo, 308398 , DO 30. 11. 2019 ,DELO V DELAVNICI,,"Podjetje potrebuje vestno, zanesljivo in fizično močno osebo za delo in pomoč pri montaži gum v vulkanizerski delavnici. Predvidoma bo delo potekalo do  30. 11. 2019, dlje po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.","4,22 €/h neto"
ANKETIRANJE,NOVA GORICA Z OKOLICO, 2 , Po dogovoru, začasno in občasno delo, 308396 , PRIBLIŽNO 1 TEDEN (NAJKASNEJE DO 15.11) ,ANKETIRANJE,,Podjetje išče dva polnoletna študenta/ki z lastnim prevozom za anketiranje. Prijavo pošlji na e-mail.,"6,00 €/h neto"
DELO NA RECEPCIJI,SELCA, 1 , Po dogovoru, začasno in občasno delo, 308395 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,DELO NA RECEPCIJI IN V STREŽBI,"Podjetje išče kandidata za delo na recepciji in v strežbi. Pogoji: znanje angleškega jezika (znanje še kakšnega tujega jezika je prednost), polnoletnost in lasten prevoz. Delovnik po dogovoru s podjetjem.","5,00 €/h neto"
DELO NA TERENU,"CELJE, LAŠKO, RIMSKE TOPLICE", 1 , Po dogovoru, začasno in občasno delo, 308394 , DLJE ČASA (OBČASNO) ,DELO NA TERENU,,"Podjetje potrebuje polnoletno osebo za geodetske meritve na terenu. Dela se daljše časovno obdobje, po potrebi in dogovoru. Zaželeno, da je oseba študent/ka geodezije, gradbeništva ali strojništva. Urna postavka se giblje od minimalno 5,92 do maksimalno 9,47 € bruto/h. Za prijavo pokličite na kontakt podjetja.","5,00 €/h neto"
DELO V SKLADIŠČU,TRŽIČ, 1 , Dopoldan, začasno in občasno delo, 308393 , DLJE ČASA (OBČASNO) ,DELO V SKLADIŠČU,,"Delo v proizvodnji in skladišču, urejanje skladišča, pranje embalaže, priprava blaga, pakiranje, pretakanje. Pokliči ali pošlji prijavo na e-naslov. Pričetek dela je takoj.","5,07 €/h neto"
FOTOGRAFIRANJE,BTC, 1 , Popoldan, začasno in občasno delo, 308386 , DLJE ČASA (OBČASNO) ,FOTOGRAFIRANJE,OBLIKOVANJE,"Podjetje išče osebo za portretno fotografiranje, fotografiranje artiklov, oblikovanje in kreiranje. Pogoji:  dobro znanje Photoshop-a in.starost nad 21 let. Pošljite življenjepis na e-naslov.","4,65 €/h neto"
STREŽBA,LJUBLJANA, 2 , Dopoldan, začasno in občasno delo, 308383 , DLJE ČASA (OBČASNO) ,STREŽBA,,Za delo v kavarni/cocktail baru potrebujejo dve polnoletni osebi. Pogoj so  izkušnje v strežbi. Kličite jih med 8-15 uro.,"6,00 €/h neto"
GRADBENA DELA,NA TERENU, 2 , Po dogovoru, začasno in občasno delo, 308380 , DLJE ČASA (OBČASNO) ,GRADBENA DELA,,"Rokovanje z ročnim orodjem (kotna rezilka, motorna žaga). Pokličite za dodatne informacije.","5,92 €/h neto"
ADMINISTRATIVNA DELA,KOPER, 1 , Po dogovoru, začasno in občasno delo, 308379 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,MARKETING,"Podjetje išče osebo za administrativna dela in marketing. Pogoji: starost nad 18 let, znanje angleškega in italijanskega jezika. Možnost kasnejše zaposlitve.","4,13 €/h neto"
POMOČ V STREŽBI,KOPER, 1 , Dopoldan, začasno in občasno delo, 308378 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Podjetje išče osebo za pomoč v strežbi. Pogoj je starost nad 18 let. Zaželene izkušnje. Plačilo od 5,33 - 5,92 €/h bruto.","4,50 €/h neto"
POMOČ V STREŽBI,DOMŽALE, 1 , Med vikendom, začasno in občasno delo, 308376 , PO DOGOVORU ,POMOČ V STREŽBI,,"Lokal, ki se naha v športnem centru išče osebo za delo v strežbi in pomoč na recepciji. Pogoj je starost nad 19 let.","5,49 €/h neto"
DELO V PROIZVODNJI,RIBNICA, 1 , Dopoldan, začasno in občasno delo, 308371 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Sestavljanje, brušenje, skladanje, pakiranje lesenih izdelkov.","4,65 €/h neto"
FIZIČNA DELA,LJUBLJANA ČRNUČE, 2 , Dopoldan,, 308370 , CCA. 2 TEDNA ,FIZIČNA DELA,,"Uspešno podjetje išče polnoletno osebo za delo v logistiki. Delo zajema fizična dela (priprava artiklov, ročno razkladanje kamionov in ostalo).","5,20 €/h neto"
POMOČNIK VZGOJITELJICE/VZGOJITELJA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308368 , DLJE ČASA (OBČASNO) ,POMOČNIK VZGOJITELJICE/VZGOJITELJA,,"Podjetje išče pomočnika vzgojitelja ali vzgojitelja predšolskih otrok. Pogoji za delo so: starost nad 18 let, ustrezna smer študija in veselje do dela z otroki. Zaželene so izkušnje.","4,41 €/h neto"
STREŽBA,BRASLOVČE, 1 , Izmensko, začasno in občasno delo, 308367 , DLJE ČASA (OBČASNO) ,STREŽBA,,Na čudoviti lokaciji ob jezeru iščejo študenta/ko za delo v strežbi. Pogoji: starost nad 18 let. Ob plačilu nudijo tudi toplo malico.,"5,92 €/h neto"
PROGRAMIRANJE,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 308363 , DLJE ČASA (OBČASNO) ,PROGRAMIRANJE,,"Zagonsko podjetje z mlado ekipo išče okrepitve. Potrebujejo fullstack programerja, ki ima razumevanje Laravela, Vue.js, MySQL in front-end (Html, Css, Sass in Boostrap). Bonus točke: humor in sproščenost. Ni potrebno, da znate vse zgoraj naštete tehnologije. Predvsem je pomembna volja do učenja, posledično se poviša tudi urna postavka. Na email pošljite reference / CV.","6,50 €/h neto"
POMOČ V KUHINJI,BLED, 1 , Po dogovoru, začasno in občasno delo, 308362 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,"Aranžiranje krožnikov, pomoč kuharju, priprava omak, skrb za red in čistočo.","6,00 €/h neto"
STREŽBA,SODRAŽICA, 1 , Po dogovoru, začasno in občasno delo, 308361 ," PO DOGOVORU,DLJE ČASA ",STREŽBA,,,"5,00 €/h neto"
PRODAJA,LJUBLJANA - BTC, 1 , Izmensko, začasno in občasno delo, 308360 , DLJE ČASA (OBČASNO) ,PRODAJA,,Podjetje išče polnoletno osebo za delo v trgovini s perilom in spalnim programom. Zaželene so izkušnje s prodajo. Pošljite prošnjo na email.,"4,13 €/h neto"
POMOČ V STREŽBI,ARCLIN-VOJNIK, 1 , Po dogovoru, začasno in občasno delo, 308359 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI ",POMOČ V STREŽBI,,"Podjetje potrebuje ažurno, strpno, komunikativno osebo, staro nad 19 let za pomoč v strežbi. Delo zajema pripravo in zaključek smene(dogovorjeno), strežbo pijač, ipd. Izkušnje so zaželene. Interesetni naj pokličejo ali pošljejo vlogo na kontakt podjetja.","5,00 €/h neto"
GRADBENA DELA,RADENCI, 2 , Dopoldan, začasno in občasno delo, 308358 , PO DOGOVORU ,GRADBENA DELA,,Za pomoč na gradbišču iščejo dve osebi.,"6,00 €/h neto"
GRAFIČNO OBLIKOVANJE,LJUBLJANA ŠIŠKA, 1 , Po dogovoru, začasno in občasno delo, 308357 , DLJE ČASA (OBČASNO) ,GRAFIČNO OBLIKOVANJE,,"V hitro rastočem IT-podjetju potrebujejo grafičnega oblikovalca (UI, UX designerja) za oblikovanje uporabniških izkušenj in izdelavo mockupov. Pogoji: izkušnje v grafičnem oblikovanju, dobro znanje programov Adobe XD in poznavanje najnovejših trendov na področju spletnega in mobilnega oblikovanja. Nudijo možnost dolgoročnega sodelovanja, tudi kasnejše redne zaposlitve in stimulativno plačilo.CV+portfolio na email.","7,00 €/h neto"
